Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,30,50,1,29,0.0574931,29.9319,7.4775e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,30,50,1,30,0.0593478,29.2704,6.325,0 1 3 25 14 17 13 2 15 4 5 28 19 18 21 22 24 16 20 7 11 6 26 10 12 8 9 27 23 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,30,50,1,30,0.0593478,29.3014,0.140079,0 1 27 23 13 9 12 15 8 17 2 14 25 3 4 5 10 26 6 11 7 20 16 19 24 18 21 22 28 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,40,50,1,37,0.0718806,39.5316,5.8921e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,40,50,1,40,0.0770816,39.7364,6.26499,0 26 33 15 12 9 32 27 23 17 13 8 14 2 4 10 1 7 20 16 38 18 37 21 34 31 30 24 19 11 6 25 3 5 28 35 22 29 36 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,40,50,1,40,0.0770816,39.6074,0.14571,0 1 36 29 31 22 35 34 30 24 21 37 38 18 16 19 28 11 6 25 3 5 7 20 26 10 33 4 2 14 17 8 15 12 9 13 23 27 32 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,50,50,1,46,0.087259,49.8613,7.6002e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,50,50,1,49,0.0922913,49.1758,5.63449,0 10 33 4 2 8 15 12 9 23 13 17 14 25 6 11 40 45 41 38 39 7 20 16 19 18 37 21 46 34 31 29 43 36 22 42 35 30 24 28 1 26 5 3 27 47 32 44 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,50,50,1,50,0.0936888,49.9668,0.148246,0 1 36 29 43 31 22 35 34 46 37 38 18 21 30 24 16 7 45 11 28 41 19 39 20 72 26 10 5 6 40 25 3 4 33 15 12 2 14 59 17 8 47 9 13 23 27 32 49 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,60,50,1,53,0.0989042,59.7878,5.5995e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,60,50,1,58,0.107058,59.0868,5.61718,0 25 14 17 13 23 50 44 52 49 32 27 12 20 28 19 16 7 11 6 40 45 41 18 39 38 37 21 34 31 22 53 56 48 54 55 51 43 36 42 29 35 46 24 30 1 5 3 2 4 26 10 33 15 47 9 8 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,60,50,1,59,0.108677,59.6292,0.187721,0 1 48 56 54 55 51 36 53 42 29 43 31 22 35 30 34 46 37 38 18 21 24 19 16 39 20 7 41 28 45 11 40 6 5 26 10 4 3 25 14 2 33 15 12 8 17 13 9 47 23 27 32 49 44 50 52 57 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,70,50,1,60,0.110283,68.9933,5.5202e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,70,50,1,68,0.12289,69.758,4.78495,0 33 8 9 12 15 47 63 64 60 58 44 50 57 52 49 32 27 23 13 17 14 59 25 39 18 31 65 62 61 56 48 54 55 51 53 42 36 43 29 35 37 38 19 16 41 45 40 6 1 26 28 11 7 20 10 4 2 3 5 24 46 22 34 21 30 66 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,70,50,1,69,0.124441,69.9908,0.162098,0 1 48 56 61 54 55 51 67 53 62 42 29 36 43 31 22 35 66 65 30 16 39 38 46 34 21 37 18 24 19 41 28 45 40 11 7 20 26 10 5 6 3 4 33 15 2 14 25 59 17 8 12 47 9 13 23 27 63 32 49 52 57 50 44 64 58 60 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,80,50,1,68,0.12289,79.7032,7.5108e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,80,50,1,77,0.136667,79.7555,6.57648,0 12 9 8 60 57 58 64 73 27 23 13 17 14 25 6 16 19 18 21 37 38 39 41 45 40 11 7 28 35 34 31 53 51 55 54 61 56 48 69 68 70 42 36 43 29 22 24 30 46 72 1 5 3 2 4 20 26 10 15 33 32 49 52 50 44 47 63 75 59 71 65 66 62 67 74 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,80,50,1,78,0.13816,79.3206,0.156445,0 1 58 64 60 44 50 73 52 57 49 32 75 63 27 23 8 4 33 15 2 12 47 9 13 17 14 59 3 25 40 6 5 10 26 72 20 71 65 30 24 19 41 28 45 11 7 16 39 38 18 21 37 46 34 35 66 62 22 31 43 29 42 53 36 51 67 70 55 68 54 61 74 56 69 48 76 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,90,50,1,76,0.13517,89.4939,5.6124e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 2969
