Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,65,0.890525,68.7748,4.56107,0 1 49 60 11 4 7 51 53 10 17 19 18 64 39 22 29 41 38 65 33 42 54 26 16 61 31 27 23 45 44 8 32 25 12 14 3 24 9 5 2 37 21 28 30 43 15 13 6 35 58 56 70 48 20 36 34 40 47 46 55 50 57 59 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,65,0.891936,69.4876,0.00655974,0 1 18 39 22 29 41 38 52 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 4 25 12 11 3 60 49 5 14 24 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,66,0.893923,69.9032,9.92156,0 1 24 14 12 25 32 8 44 10 45 23 27 31 61 16 26 54 42 33 52 38 41 29 22 39 64 18 19 17 53 51 63 7 4 11 3 60 49 5 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,54,0.865438,79.4287,4.317e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,71,0.90296,79.5989,4.32389,0 11 45 61 42 22 26 29 41 38 39 16 27 17 10 63 12 60 37 43 46 40 47 48 50 55 57 59 62 70 58 56 30 28 36 34 20 15 13 6 35 9 49 5 21 2 1 7 32 25 4 24 14 3 67 44 51 8 53 23 19 18 64 31 54 33 65 52 66 68 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906566,79.2132,2.24545,0 1 97 60 3 11 67 63 51 53 10 17 31 61 26 54 42 33 65 52 66 68 38 41 29 22 39 64 16 18 19 27 23 45 44 8 7 32 25 4 12 14 24 9 49 5 2 37 21 6 35 58 13 28 30 15 70 56 43 20 48 34 36 40 47 46 73 77 50 55 57 59 62 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906836,79.9672,0.00927456,0 1 18 64 39 22 29 41 38 66 68 52 65 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 25 12 4 67 11 3 14 24 60 49 5 35 2 9 37 21 6 58 56 13 28 30 43 15 70 48 20 36 34 40 47 73 46 55 50 57 62 59 77 82 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906836,79.5037,601.088,0 1 24 14 12 25 32 4 7 8 44 45 23 27 31 61 26 39 22 42 54 29 33 41 65 38 68 66 52 64 16 18 19 17 10 53 51 63 67 11 3 60 49 5 9 37 2 21 28 6 13 35 58 56 70 15 30 43 20 48 34 36 47 40 73 77 46 55 50 57 62 59 82 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,90,50,1,60,0.881416,89.4384,4.38e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,90,50,1,78,0.910575,88.2242,4.97585,0 37 2 56 36 34 40 55 50 73 95 62 57 82 89 84 59 77 46 47 20 48 70 15 30 9 11 5 35 49 60 67 51 45 44 8 23 27 10 19 18 16 17 26 22 29 41 52 65 61 64 42 39 54 68 66 38 33 31 53 63 7 4 12 32 25 1 58 43 6 24 97 14 3 21 28 13 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,90,50,1,78,0.910575,84.8931,3.23909,0 1 77 57 59 89 84 82 62 95 50 55 46 73 47 40 34 36 20 48 70 15 43 30 13 56 58 35 9 37 6 28 21 2 5 49 97 67 4 44 45 10 17 23 19 64 26 54 42 65 38 52 66 68 41 33 29 22 39 16 61 31 18 27 53 51 63 7 8 32 25 12 14 24 3 11 60 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,90,50,1,78,0.910575,85.3973,0.0109364,0 1 18 64 39 22 29 41 38 66 68 52 65 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 25 12 4 67 11 3 14 24 60 49 5 35 2 9 37 21 6 58 56 13 28 30 43 15 70 48 20 36 34 40 47 73 46 55 50 57 62 59 77 82 84 89 95 97 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,90,50,1,78,0.910575,89.9907,0.966407,0 1 2 20 48 59 57 43 36 82 84 89 62 95 77 50 55 34 40 47 46 73 30 97 3 49 5 14 9 37 4 25 7 24 17 31 18 22 33 29 41 39 61 26 16 64 38 8 44 19 53 67 63 12 51 66 68 52 65 42 54 27 23 32 10 45 11 60 35 6 58 70 15 56 13 28 21 100
