Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,47,0.84086,49.4999,7.581,0 4 7 32 44 8 10 23 17 19 18 39 22 41 38 33 29 42 26 16 31 27 45 25 12 11 3 14 24 9 1 5 37 2 35 6 21 28 13 15 30 43 20 36 34 40 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,48,0.84461,49.9764,6.721,0 1 5 2 35 6 13 15 20 48 34 40 36 43 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 10 45 23 17 19 27 31 18 16 26 39 22 29 42 33 41 38 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,42,0.817993,59.3765,3.51e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,55,0.868257,59.7172,3.77844,0 1 9 49 5 2 6 35 21 28 30 13 15 20 36 48 34 50 46 47 40 43 37 14 12 25 32 44 45 17 10 27 23 8 7 3 24 11 4 51 53 19 18 16 39 26 22 38 41 29 42 33 31 52 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,56,0.867257,59.0956,3.60842,0 1 3 11 44 45 10 17 19 18 64 39 22 42 33 38 41 29 54 26 16 61 31 27 23 53 51 8 32 7 63 4 25 12 14 24 9 5 2 37 21 35 6 28 13 30 15 43 36 20 48 34 40 47 46 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,56,0.871067,59.6052,0.00724282,0 1 18 39 22 29 41 38 52 33 42 54 26 16 31 27 19 17 23 53 10 45 44 32 8 51 7 4 25 12 11 3 14 24 49 5 9 37 2 35 6 21 28 13 15 30 43 20 48 34 36 40 47 46 50 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,56,0.871067,59.6052,0.00838511,0 1 18 39 22 29 41 38 52 33 42 54 26 16 31 27 19 17 23 53 10 45 44 32 8 51 7 4 25 12 11 3 14 24 49 5 9 37 2 35 6 21 28 13 15 30 43 20 48 34 36 40 47 46 50 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,56,0.871067,59.9744,6.79551,0 1 49 5 32 44 45 10 53 17 23 19 27 31 16 26 54 42 33 52 38 41 29 22 39 18 14 3 11 12 25 4 7 8 51 24 9 37 2 35 6 21 28 13 15 30 43 20 48 34 36 40 47 46 50 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,57,0.873654,59.9859,4.4966,0 1 49 5 2 35 6 13 56 15 48 34 47 55 50 46 40 36 20 43 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 51 53 10 45 23 17 19 27 31 18 16 26 39 22 29 42 33 41 38 52 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,48,0.84461,69.956,3.834e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 48 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,63,0.887934,69.279,4.65942,0 60 32 44 10 17 18 19 53 27 23 45 25 12 11 24 3 14 1 49 5 9 58 56 43 40 55 57 50 59 46 47 34 20 15 48 36 6 13 30 28 21 2 35 37 7 8 4 51 31 16 39 29 42 33 38 52 41 26 22 54 61 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,65,0.890558,69.4227,3.41938,0 1 3 11 25 32 44 45 23 19 64 26 39 22 29 41 68 66 52 38 65 33 42 54 61 16 18 31 27 17 53 10 8 51 63 7 4 12 14 24 49 5 9 37 21 28 30 56 58 35 2 6 13 15 43 20 48 34 36 40 47 46 55 50 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,65,0.891936,69.4876,0.00728576,0 1 18 39 22 29 41 38 52 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 4 25 12 11 3 60 49 5 14 24 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,65,0.891936,69.4876,0.00880814,0 1 18 39 22 29 41 38 52 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 4 25 12 11 3 60 49 5 14 24 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,65,0.891936,69.3417,8.00714,0 32 44 45 19 18 39 22 29 41 38 52 33 42 54 26 16 61 31 27 23 17 53 10 8 51 63 7 4 25 14 1 5 49 60 3 11 12 24 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,66,0.893923,69.9032,9.10035,0 1 24 14 12 25 32 8 44 10 45 23 27 31 61 16 26 54 42 33 52 38 41 29 22 39 64 18 19 17 53 51 63 7 4 11 3 60 49 5 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,54,0.865438,79.4287,3.807e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,71,0.90296,78.594,4.46846,0 1 60 2 35 13 43 46 47 50 55 57 59 62 40 15 48 70 5 9 37 6 58 56 20 36 34 30 28 21 49 24 12 63 44 45 17 10 53 27 31 19 23 8 7 67 4 14 3 11 25 32 51 18 16 54 39 64 61 22 26 29 41 33 38 68 66 65 52 42 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906566,79.3175,2.48547,0 1 49 60 97 67 63 51 53 17 19 64 39 22 29 68 66 52 65 38 41 33 42 54 26 16 61 31 18 27 23 10 45 44 8 7 32 25 4 11 12 14 3 24 9 5 37 21 28 30 15 70 56 58 35 2 6 13 43 36 48 20 34 40 47 55 46 73 77 50 57 59 62 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906836,79.9672,0.00946202,0 1 18 64 39 22 29 41 38 66 68 52 65 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 25 12 4 67 11 3 14 24 60 49 5 35 2 9 37 21 6 58 56 13 28 30 43 15 70 48 20 36 34 40 47 73 46 55 50 57 62 59 77 82 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906836,79.7154,0.00993461,0 1 18 64 39 22 29 41 38 66 68 52 65 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 25 12 4 67 11 3 14 24 60 49 5 35 2 9 37 21 6 58 56 13 28 30 43 15 70 48 20 36 34 40 47 73 77 46 55 50 57 62 59 82 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906836,79.7751,4.20975,0 60 49 5 35 2 9 37 1 3 11 67 4 12 25 7 32 44 45 10 53 23 17 19 27 31 61 16 26 54 42 33 65 52 68 66 38 41 29 22 39 64 18 8 51 63 14 24 21 6 58 56 13 28 30 43 15 70 48 20 36 34 40 47 55 46 73 77 50 62 57 59 82 100
