ID	ra_center	dec_center
83	225.774769	-82.094306
84	237.270367	-82.094306
85	248.765964	-82.094306
86	260.261562	-82.094306
87	271.757160	-82.094306
88	283.252758	-82.094306
89	294.748356	-82.094306
90	306.243954	-82.094306
91	317.739552	-82.094306
92	329.235149	-82.094306
93	340.730747	-82.094306
94	352.226345	-82.094306
95	4.633329	-80.513167
96	14.226399	-80.513167
97	23.819468	-80.513167
98	33.412538	-80.513167
99	43.005608	-80.513167
100	52.598678	-80.513167
101	62.191748	-80.513167
102	71.784817	-80.513167
103	81.377887	-80.513167
104	90.970957	-80.513167
105	100.564027	-80.513167
106	110.157096	-80.513167
107	119.750166	-80.513167
108	129.343236	-80.513167
109	138.936306	-80.513167
110	148.529376	-80.513167
111	158.122445	-80.513167
112	167.715515	-80.513167
113	177.308585	-80.513167
114	186.901655	-80.513167
115	196.494724	-80.513167
116	206.087794	-80.513167
117	215.680864	-80.513167
118	225.273934	-80.513167
119	234.867004	-80.513167
120	244.460073	-80.513167
121	254.053143	-80.513167
122	263.646213	-80.513167
123	273.239283	-80.513167
124	282.832353	-80.513167
125	292.425422	-80.513167
126	302.018492	-80.513167
127	311.611562	-80.513167
128	321.204632	-80.513167
129	330.797701	-80.513167
130	340.390771	-80.513167
131	349.983841	-80.513167
132	359.576911	-80.513167
133	4.609916	-78.932028
134	12.846155	-78.932028
135	21.082395	-78.932028
136	29.318634	-78.932028
137	37.554873	-78.932028
138	45.791112	-78.932028
139	54.027352	-78.932028
140	62.263591	-78.932028
141	70.499830	-78.932028
142	78.736070	-78.932028
143	86.972309	-78.932028
144	95.208548	-78.932028
145	103.444787	-78.932028
146	111.681027	-78.932028
147	119.917266	-78.932028
148	128.153505	-78.932028
149	136.389745	-78.932028
150	144.625984	-78.932028
151	152.862223	-78.932028
152	161.098462	-78.932028
153	169.334702	-78.932028
154	177.570941	-78.932028
155	185.807180	-78.932028
156	194.043420	-78.932028
157	202.279659	-78.932028
158	210.515898	-78.932028
159	218.752137	-78.932028
160	226.988377	-78.932028
161	235.224616	-78.932028
162	243.460855	-78.932028
163	251.697095	-78.932028
164	259.933334	-78.932028
165	268.169573	-78.932028
166	276.405812	-78.932028
167	284.642052	-78.932028
168	292.878291	-78.932028
169	301.114530	-78.932028
170	309.350770	-78.932028
171	317.587009	-78.932028
172	325.823248	-78.932028
173	334.059487	-78.932028
174	342.295727	-78.932028
175	350.531966	-78.932028
176	358.768205	-78.932028
177	1.862930	-77.350889
178	9.083413	-77.350889
179	16.303895	-77.350889
180	23.524378	-77.350889
181	30.744860	-77.350889
182	37.965343	-77.350889
183	45.185826	-77.350889
184	52.406308	-77.350889
185	59.626791	-77.350889
186	66.847273	-77.350889
187	74.067756	-77.350889
188	81.288239	-77.350889
189	88.508721	-77.350889
190	95.729204	-77.350889
191	102.949686	-77.350889
192	110.170169	-77.350889
193	117.390652	-77.350889
194	124.611134	-77.350889
195	131.831617	-77.350889
196	139.052099	-77.350889
197	146.272582	-77.350889
198	153.493065	-77.350889
199	160.713547	-77.350889
200	167.934030	-77.350889
201	175.154512	-77.350889
202	182.374995	-77.350889
203	189.595478	-77.350889
204	196.815960	-77.350889
205	204.036443	-77.350889
206	211.256925	-77.350889
207	218.477408	-77.350889
208	225.697891	-77.350889
209	232.918373	-77.350889
210	240.138856	-77.350889
211	247.359338	-77.350889
212	254.579821	-77.350889
213	261.800304	-77.350889
214	269.020786	-77.350889
215	276.241269	-77.350889
216	283.461751	-77.350889
217	290.682234	-77.350889
218	297.902717	-77.350889
219	305.123199	-77.350889
220	312.343682	-77.350889
221	319.564164	-77.350889
222	326.784647	-77.350889
223	334.005130	-77.350889
224	341.225612	-77.350889
225	348.446095	-77.350889
226	355.666577	-77.350889
227	5.383754	-75.769751
228	11.815875	-75.769751
229	18.247997	-75.769751
230	24.680119	-75.769751
