ID	ra_center	dec_center
117	223.667840	-71.026334
118	233.393929	-71.026334
119	243.120018	-71.026334
120	252.846106	-71.026334
121	262.572195	-71.026334
122	272.298283	-71.026334
123	282.024372	-71.026334
124	291.750461	-71.026334
125	301.476549	-71.026334
126	311.202638	-71.026334
127	320.928726	-71.026334
128	330.654815	-71.026334
129	340.380903	-71.026334
130	350.106992	-71.026334
131	359.833081	-71.026334
132	6.126205	-67.864056
133	14.518540	-67.864056
134	22.910876	-67.864056
135	31.303211	-67.864056
136	39.695547	-67.864056
137	48.087883	-67.864056
138	56.480218	-67.864056
139	64.872554	-67.864056
140	73.264890	-67.864056
141	81.657225	-67.864056
142	90.049561	-67.864056
143	98.441897	-67.864056
144	106.834232	-67.864056
145	115.226568	-67.864056
146	123.618903	-67.864056
147	132.011239	-67.864056
148	140.403575	-67.864056
149	148.795910	-67.864056
150	157.188246	-67.864056
151	165.580582	-67.864056
152	173.972917	-67.864056
153	182.365253	-67.864056
154	190.757589	-67.864056
155	199.149924	-67.864056
156	207.542260	-67.864056
157	215.934596	-67.864056
158	224.326931	-67.864056
159	232.719267	-67.864056
160	241.111602	-67.864056
161	249.503938	-67.864056
162	257.896274	-67.864056
163	266.288609	-67.864056
164	274.680945	-67.864056
165	283.073281	-67.864056
166	291.465616	-67.864056
167	299.857952	-67.864056
168	308.250288	-67.864056
169	316.642623	-67.864056
170	325.034959	-67.864056
171	333.427294	-67.864056
172	341.819630	-67.864056
173	350.211966	-67.864056
174	358.604301	-67.864056
175	1.784004	-64.701779
176	9.184091	-64.701779
177	16.584178	-64.701779
178	23.984265	-64.701779
179	31.384352	-64.701779
180	38.784439	-64.701779
181	46.184526	-64.701779
182	53.584613	-64.701779
183	60.984700	-64.701779
184	68.384787	-64.701779
185	75.784874	-64.701779
186	83.184961	-64.701779
187	90.585048	-64.701779
188	97.985135	-64.701779
189	105.385222	-64.701779
190	112.785309	-64.701779
191	120.185396	-64.701779
192	127.585483	-64.701779
193	134.985570	-64.701779
194	142.385657	-64.701779
195	149.785744	-64.701779
196	157.185831	-64.701779
197	164.585918	-64.701779
198	171.986005	-64.701779
199	179.386092	-64.701779
200	186.786179	-64.701779
201	194.186266	-64.701779
202	201.586353	-64.701779
203	208.986440	-64.701779
204	216.386527	-64.701779
205	223.786614	-64.701779
206	231.186701	-64.701779
207	238.586788	-64.701779
208	245.986875	-64.701779
209	253.386962	-64.701779
210	260.787049	-64.701779
211	268.187136	-64.701779
212	275.587222	-64.701779
213	282.987309	-64.701779
214	290.387396	-64.701779
215	297.787483	-64.701779
216	305.187570	-64.701779
217	312.587657	-64.701779
218	319.987744	-64.701779
219	327.387831	-64.701779
220	334.787918	-64.701779
221	342.188005	-64.701779
222	349.588092	-64.701779
223	356.988179	-64.701779
224	2.802461	-61.539501
225	9.438195	-61.539501
226	16.073930	-61.539501
227	22.709664	-61.539501
228	29.345399	-61.539501
229	35.981133	-61.539501
230	42.616868	-61.539501
231	49.252602	-61.539501
232	55.888337	-61.539501
233	62.524071	-61.539501
234	69.159806	-61.539501
235	75.795540	-61.539501
236	82.431275	-61.539501
237	89.067009	-61.539501
238	95.702744	-61.539501
239	102.338478	-61.539501
240	108.974213	-61.539501
241	115.609947	-61.539501
242	122.245682	-61.539501
243	128.881416	-61.539501
244	135.517151	-61.539501
245	142.152886	-61.539501
246	148.788620	-61.539501
247	155.424355	-61.539501
248	162.060089	-61.539501
249	168.695824	-61.539501
250	175.331558	-61.539501
251	181.967293	-61.539501
252	188.603027	-61.539501
253	195.238762	-61.539501
254	201.874496	-61.539501
255	208.510231	-61.539501
256	215.145965	-61.539501
257	221.781700	-61.539501
258	228.417434	-61.539501
259	235.053169	-61.539501
260	241.688903	-61.539501
261	248.324638	-61.539501
