Dataset,Budget,ObjectValue,ReturnValue,Gap,Runtime
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191219_163120_7dt.csv,1000,0.55578,0.55578,0,73.4194
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191219_163120_7dt.csv,1200,0.557774,0.247734,1.2515,1203.37
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191219_163120_7dt.csv,1400,0.558502,0.45781,0.219943,1203.38
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191219_163120_7dt.csv,1600,0.558563,0.496494,0.125015,1203.69
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,10,0.0650785,0.0650785,0,105.991
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,200,0.552563,0.552563,0,264.762
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,400,0.687248,0.687248,0,87.7468
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,600,0.745722,0.745722,0,78.836
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,800,0.774275,0.774275,0,91.6971
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,1000,0.787676,0.787676,0,89.7571
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,1200,0.79475,0.79475,0,94.2215
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,1400,0.797954,0.797954,0,104.531
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191222_033537_7dt.csv,1600,0.798743,0.798743,0,95.3375
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,10,0.0582268,0.0582268,0,34.786
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,200,0.692896,0.691698,0.00173211,1201.96
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,400,0.8575,0.857194,0.000357066,37.4074
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,600,0.89339,0.89339,0,37.279
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,800,0.902498,0.72072,0.252218,1201.68
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,1000,0.902506,0.902506,0,904.188
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,1200,0.902506,0.902506,0,765.89
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,1400,0.902506,0.747903,0.206715,1201.66
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191230_180458_7dt.csv,1600,0.902506,0.747903,0.206715,1201.65
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,10,0.00936938,0.00936938,0,646.561
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,200,0.12264,0.12264,0,543.793
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,400,0.197046,0.197033,6.65182e-05,571.257
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,600,0.255905,0.255905,0,737.56
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,800,0.302062,0.302062,0,864.676
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,1000,0.340275,0.340275,0,825.307
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,1200,0.371062,0.371062,0,767.451
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,1400,0.395994,0.395994,0,822.672
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200105_162426_7dt.csv,1600,0.414483,0.414483,0,910.462
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,10,0.0219744,0.0219744,0,382.68
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,200,0.22978,0.229758,9.50974e-05,366.109
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,400,0.318534,0.318534,0,330.466
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,600,0.37307,0.37307,0,374.85
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,800,0.40906,0.40906,0,510.793
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,1000,0.434788,0.434788,0,469.33
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,1200,0.453655,0.453655,0,416.468
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,1400,0.466309,0.466309,0,409.263
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200112_155838_7dt.csv,1600,0.474407,0.474407,0,427.196
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,10,0.0366579,0.0366579,0,94.1342
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,200,0.360874,0.360521,0.000978819,210.612
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,400,0.469799,0.469799,0,83.2322
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,600,0.521535,0.521535,0,88.1596
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,800,0.548734,0.548734,0,101.686
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,1000,0.563252,0.563252,0,100.375
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,1200,0.571906,0.571906,0,97.3961
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,1400,0.576008,0.576008,0,81.2091
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200128_022011_7dt.csv,1600,0.577948,0.577948,0,71.7903
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,10,0.067307,0.067307,0,128.067
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,200,0.621325,0.62115,0.00028149,456.986
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,400,0.767459,0.766934,0.000684826,141.876
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,600,0.829451,0.829451,0,149.106
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,800,0.856245,0.856245,0,142.773
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,1000,0.866655,0.866655,0,125.525
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,1200,0.870462,0.870462,0,115.957
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,1400,0.872225,0.872225,0,103.98
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200208_222617_7dt.csv,1600,0.872196,0.872196,0,103.554
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,10,0.0826987,0.0826987,0,24.0946
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,200,0.703181,0.703127,7.61945e-05,135.563
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,400,0.831587,0.831566,2.45483e-05,26.9185
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,600,0.854077,0.854077,0,27.0957
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,800,0.85799,0.857335,0.000763247,723.108
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,1000,0.85799,0.857876,0.000132818,863.997
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,1200,0.85799,0.85799,0,691.978
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,1400,0.85799,0.85799,0,1019.32
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200209_085452_7dt.csv,1600,0.85799,0.806278,0.064136,1201.26
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,10,0.0731157,0.0731157,0,61.7667
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,200,0.423504,0.422215,0.00305405,1203.18
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,400,0.531197,0.531,0.000369846,71.7219
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,600,0.564504,0.564504,0,70.4676
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,800,0.576142,0.576142,0,64.9059
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,1000,0.580315,0.580315,0,63.2813
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,1200,0.580166,0.580166,0,62.5071
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,1400,0.580259,0.579849,0.000707877,53.3642
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200210_092254_7dt.csv,1600,0.580424,0.580073,0.000605953,51.7039
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,10,0.0272506,0.0272506,0,602.394
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,200,0.387176,0.38589,0.00333262,1216.36
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,400,0.587091,0.586186,0.00154449,1224.03
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,600,0.699646,0.698618,0.00147111,1216.59
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,800,0.773164,0.772969,0.000251464,544.557
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,1000,0.827775,0.827775,0,475.992
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,1200,0.868121,0.868121,0,666.728
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,1400,0.898426,0.898426,0,676.57
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200216_220804_7dt.csv,1600,0.921566,0.921566,0,575.27
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,10,0.019354,0.019354,0,699.614
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,200,0.273814,0.271617,0.00808873,1225.03
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,400,0.452705,0.450245,0.00546254,1224.1
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,600,0.584751,0.58322,0.00262374,1224.21
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,800,0.68691,0.686227,0.000995204,1031.38
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,1000,0.766117,0.766117,0,940.564
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,1200,0.829636,0.829636,0,1013.54
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,1400,0.873596,0.873596,0,1113.87
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_061928_7dt.csv,1600,0.901118,0.901118,0,986.347
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,10,0.0316231,0.0316231,0,147.268
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,200,0.349665,0.349665,0,530.642
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,400,0.467032,0.467032,0,149.166
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,600,0.527557,0.527557,0,139.582
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,800,0.559979,0.559979,0,127.993
